AreaInPixels,PhysicalSize,Polygon
437,437,[110691.0:44002.0:110691.0:44003.0:110692.0:44004.0:110692.0:44008.0:110695.0:44011.0:110695.0:44012.0:110697.0:44014.0:110698.0:44014.0:110699.0:44015.0:110700.0:44015.0:110701.0:44016.0:110703.0:44016.0:110704.0:44017.0:110706.0:44017.0:110707.0:44018.0:110713.0:44018.0:110714.0:44017.0:110718.0:44017.0:110719.0:44016.0:110720.0:44016.0:110720.0:44015.0:110721.0:44014.0:110721.0:44011.0:110722.0:44010.0:110722.0:44008.0:110721.0:44007.0:110721.0:44006.0:110720.0:44005.0:110720.0:44002.0]
258,258,[111265.0:44002.0:111265.0:44004.0:111263.0:44006.0:111263.0:44007.0:111262.0:44008.0:111262.0:44009.0:111261.0:44010.0:111261.0:44014.0:111262.0:44015.0:111262.0:44016.0:111263.0:44017.0:111263.0:44018.0:111264.0:44019.0:111272.0:44019.0:111275.0:44016.0:111275.0:44015.0:111277.0:44013.0:111277.0:44011.0:111278.0:44010.0:111278.0:44008.0:111277.0:44007.0:111277.0:44006.0:111276.0:44005.0:111276.0:44002.0]
404,404,[111576.0:44002.0:111576.0:44005.0:111575.0:44006.0:111575.0:44007.0:111574.0:44008.0:111574.0:44009.0:111575.0:44010.0:111575.0:44012.0:111576.0:44013.0:111576.0:44014.0:111577.0:44015.0:111577.0:44016.0:111579.0:44018.0:111579.0:44019.0:111580.0:44019.0:111581.0:44020.0:111583.0:44020.0:111584.0:44021.0:111588.0:44021.0:111589.0:44020.0:111591.0:44020.0:111592.0:44019.0:111593.0:44019.0:111595.0:44017.0:111596.0:44017.0:111596.0:44016.0:111598.0:44014.0:111598.0:44013.0:111599.0:44012.0:111599.0:44010.0:111598.0:44009.0:111598.0:44008.0:111597.0:44007.0:111597.0:44006.0:111595.0:44004.0:111595.0:44003.0:111594.0:44002.0]
312,312,[111914.0:44002.0:111915.0:44003.0:111915.0:44004.0:111916.0:44005.0:111916.0:44006.0:111917.0:44007.0:111917.0:44008.0:111918.0:44008.0:111928.0:44018.0:111929.0:44018.0:111931.0:44020.0:111933.0:44020.0:111934.0:44021.0:111935.0:44021.0:111935.0:44020.0:111934.0:44019.0:111934.0:44018.0:111933.0:44017.0:111933.0:44016.0:111934.0:44015.0:111935.0:44015.0:111936.0:44014.0:111937.0:44014.0:111939.0:44012.0:111939.0:44009.0:111938.0:44008.0:111938.0:44002.0:111923.0:44002.0:111922.0:44003.0:111919.0:44003.0:111918.0:44002.0]
815,815,[108271.0:44002.0:108273.0:44004.0:108270.0:44007.0:108270.0:44010.0:108271.0:44011.0:108271.0:44012.0:108272.0:44013.0:108272.0:44015.0:108273.0:44016.0:108273.0:44018.0:108276.0:44021.0:108282.0:44021.0:108283.0:44022.0:108284.0:44022.0:108285.0:44021.0:108290.0:44021.0:108291.0:44022.0:108295.0:44022.0:108296.0:44021.0:108297.0:44021.0:108298.0:44020.0:108299.0:44020.0:108300.0:44019.0:108301.0:44019.0:108302.0:44018.0:108307.0:44018.0:108309.0:44016.0:108309.0:44015.0:108312.0:44012.0:108313.0:44012.0:108314.0:44011.0:108314.0:44009.0:108316.0:44007.0:108318.0:44007.0:108318.0:44002.0]
758,758,[108957.0:44002.0:108957.0:44009.0:108958.0:44010.0:108958.0:44012.0:108959.0:44013.0:108959.0:44014.0:108961.0:44016.0:108961.0:44017.0:108966.0:44022.0:108967.0:44022.0:108968.0:44023.0:108970.0:44023.0:108971.0:44024.0:108974.0:44024.0:108975.0:44023.0:108979.0:44023.0:108980.0:44022.0:108983.0:44022.0:108984.0:44023.0:108991.0:44023.0:108994.0:44020.0:108994.0:44019.0:108995.0:44018.0:108995.0:44012.0:108994.0:44011.0:108994.0:44009.0:108993.0:44008.0:108993.0:44007.0:108992.0:44006.0:108992.0:44005.0:108991.0:44004.0:108991.0:44002.0]
565,565,[111134.0:44002.0:111134.0:44004.0:111130.0:44008.0:111129.0:44008.0:111129.0:44009.0:111123.0:44015.0:111123.0:44017.0:111124.0:44018.0:111124.0:44019.0:111125.0:44020.0:111125.0:44021.0:111126.0:44022.0:111126.0:44023.0:111127.0:44024.0:111129.0:44024.0:111130.0:44025.0:111131.0:44025.0:111132.0:44026.0:111133.0:44026.0:111134.0:44027.0:111136.0:44027.0:111143.0:44020.0:111144.0:44020.0:111145.0:44019.0:111146.0:44019.0:111147.0:44018.0:111148.0:44018.0:111149.0:44017.0:111150.0:44017.0:111152.0:44015.0:111152.0:44014.0:111154.0:44012.0:111154.0:44011.0:111155.0:44010.0:111155.0:44008.0:111156.0:44007.0:111156.0:44006.0:111155.0:44006.0:111153.0:44004.0:111153.0:44002.0]
432,432,[109832.0:44002.0:109832.0:44004.0:109833.0:44005.0:109833.0:44007.0:109834.0:44008.0:109834.0:44009.0:109838.0:44013.0:109838.0:44014.0:109841.0:44017.0:109841.0:44018.0:109843.0:44020.0:109844.0:44020.0:109845.0:44021.0:109847.0:44021.0:109848.0:44022.0:109850.0:44022.0:109851.0:44023.0:109854.0:44023.0:109855.0:44022.0:109856.0:44022.0:109857.0:44021.0:109858.0:44021.0:109861.0:44018.0:109861.0:44016.0:109862.0:44015.0:109861.0:44014.0:109861.0:44011.0:109859.0:44009.0:109858.0:44009.0:109857.0:44008.0:109856.0:44008.0:109855.0:44007.0:109853.0:44007.0:109852.0:44006.0:109851.0:44006.0:109850.0:44005.0:109848.0:44005.0:109845.0:44002.0]
772,772,[108547.0:44002.0:108546.0:44003.0:108546.0:44004.0:108544.0:44006.0:108544.0:44008.0:108543.0:44009.0:108543.0:44011.0:108542.0:44012.0:108542.0:44017.0:108541.0:44018.0:108541.0:44022.0:108542.0:44023.0:108542.0:44025.0:108543.0:44026.0:108544.0:44026.0:108545.0:44027.0:108548.0:44027.0:108549.0:44028.0:108559.0:44028.0:108560.0:44027.0:108562.0:44027.0:108563.0:44026.0:108564.0:44026.0:108566.0:44024.0:108567.0:44024.0:108571.0:44020.0:108571.0:44018.0:108572.0:44017.0:108572.0:44015.0:108573.0:44014.0:108573.0:44013.0:108574.0:44012.0:108574.0:44005.0:108573.0:44004.0:108573.0:44002.0]
419,419,[110592.0:44002.0:110592.0:44003.0:110591.0:44004.0:110591.0:44007.0:110590.0:44008.0:110590.0:44014.0:110591.0:44015.0:110591.0:44016.0:110592.0:44017.0:110592.0:44018.0:110593.0:44018.0:110595.0:44020.0:110595.0:44021.0:110597.0:44023.0:110599.0:44023.0:110600.0:44024.0:110602.0:44024.0:110603.0:44025.0:110604.0:44025.0:110605.0:44026.0:110607.0:44026.0:110608.0:44025.0:110609.0:44025.0:110610.0:44024.0:110611.0:44024.0:110611.0:44023.0:110612.0:44022.0:110612.0:44016.0:110611.0:44015.0:110611.0:44008.0:110612.0:44007.0:110612.0:44002.0:110609.0:44002.0:110609.0:44006.0:110608.0:44007.0:110601.0:44007.0:110600.0:44006.0:110599.0:44006.0:110598.0:44005.0:110597.0:44005.0:110596.0:44004.0:110595.0:44004.0:110593.0:44002.0]
743,743,[110884.0:44002.0:110881.0:44005.0:110881.0:44008.0:110883.0:44010.0:110883.0:44014.0:110881.0:44016.0:110882.0:44017.0:110881.0:44018.0:110882.0:44019.0:110882.0:44021.0:110883.0:44022.0:110884.0:44022.0:110885.0:44023.0:110886.0:44023.0:110887.0:44024.0:110889.0:44024.0:110891.0:44026.0:110891.0:44027.0:110896.0:44032.0:110897.0:44032.0:110898.0:44033.0:110899.0:44033.0:110902.0:44030.0:110902.0:44029.0:110906.0:44025.0:110907.0:44025.0:110909.0:44023.0:110910.0:44023.0:110912.0:44021.0:110912.0:44020.0:110913.0:44019.0:110913.0:44013.0:110912.0:44012.0:110912.0:44011.0:110906.0:44005.0:110905.0:44005.0:110904.0:44004.0:110903.0:44004.0:110902.0:44003.0:110901.0:44003.0:110900.0:44002.0]
285,285,[111697.0:44003.0:111695.0:44005.0:111691.0:44005.0:111691.0:44007.0:111692.0:44008.0:111693.0:44008.0:111694.0:44009.0:111695.0:44009.0:111696.0:44010.0:111698.0:44010.0:111701.0:44013.0:111701.0:44014.0:111702.0:44015.0:111703.0:44015.0:111707.0:44019.0:111707.0:44024.0:111709.0:44024.0:111709.0:44023.0:111710.0:44022.0:111711.0:44023.0:111716.0:44023.0:111716.0:44022.0:111718.0:44020.0:111718.0:44017.0:111717.0:44016.0:111717.0:44015.0:111715.0:44013.0:111715.0:44012.0:111714.0:44011.0:111713.0:44011.0:111710.0:44008.0:111708.0:44008.0:111707.0:44007.0:111706.0:44007.0:111705.0:44006.0:111704.0:44006.0:111703.0:44005.0:111702.0:44005.0:111701.0:44004.0:111700.0:44004.0:111699.0:44003.0]
795,795,[108739.0:44002.0:108738.0:44003.0:108734.0:44003.0:108732.0:44005.0:108730.0:44005.0:108729.0:44006.0:108726.0:44006.0:108725.0:44007.0:108726.0:44008.0:108726.0:44009.0:108727.0:44010.0:108727.0:44013.0:108726.0:44014.0:108726.0:44015.0:108725.0:44016.0:108731.0:44022.0:108731.0:44023.0:108732.0:44024.0:108733.0:44024.0:108735.0:44026.0:108737.0:44026.0:108740.0:44029.0:108741.0:44029.0:108743.0:44031.0:108743.0:44032.0:108745.0:44032.0:108750.0:44027.0:108751.0:44027.0:108753.0:44025.0:108753.0:44024.0:108755.0:44022.0:108755.0:44021.0:108757.0:44019.0:108757.0:44017.0:108758.0:44016.0:108758.0:44015.0:108759.0:44014.0:108759.0:44013.0:108760.0:44012.0:108760.0:44011.0:108762.0:44009.0:108762.0:44006.0:108758.0:44002.0]
1100,1100,[109737.0:44002.0:109736.0:44003.0:109736.0:44004.0:109734.0:44006.0:109734.0:44009.0:109735.0:44010.0:109735.0:44012.0:109737.0:44014.0:109737.0:44015.0:109743.0:44021.0:109744.0:44021.0:109746.0:44023.0:109747.0:44023.0:109752.0:44028.0:109753.0:44028.0:109754.0:44029.0:109755.0:44029.0:109756.0:44030.0:109757.0:44030.0:109758.0:44031.0:109760.0:44031.0:109761.0:44032.0:109762.0:44032.0:109763.0:44033.0:109771.0:44033.0:109772.0:44032.0:109774.0:44032.0:109778.0:44028.0:109778.0:44027.0:109779.0:44026.0:109779.0:44025.0:109780.0:44024.0:109780.0:44021.0:109781.0:44020.0:109781.0:44018.0:109780.0:44017.0:109780.0:44016.0:109779.0:44015.0:109779.0:44014.0:109775.0:44010.0:109775.0:44009.0:109773.0:44007.0:109772.0:44007.0:109770.0:44005.0:109769.0:44005.0:109767.0:44003.0:109767.0:44002.0]
1132,1132,[109970.0:44002.0:109970.0:44003.0:109968.0:44005.0:109968.0:44006.0:109967.0:44007.0:109967.0:44008.0:109966.0:44009.0:109966.0:44010.0:109963.0:44013.0:109962.0:44013.0:109961.0:44014.0:109960.0:44014.0:109959.0:44015.0:109958.0:44015.0:109957.0:44016.0:109956.0:44016.0:109955.0:44017.0:109954.0:44017.0:109953.0:44018.0:109952.0:44018.0:109951.0:44019.0:109950.0:44019.0:109946.0:44023.0:109946.0:44026.0:109947.0:44027.0:109947.0:44029.0:109949.0:44031.0:109949.0:44032.0:109954.0:44037.0:109955.0:44037.0:109957.0:44039.0:109958.0:44039.0:109959.0:44040.0:109961.0:44040.0:109962.0:44039.0:109964.0:44039.0:109965.0:44038.0:109966.0:44038.0:109970.0:44034.0:109971.0:44034.0:109972.0:44033.0:109974.0:44033.0:109975.0:44032.0:109977.0:44032.0:109978.0:44031.0:109979.0:44031.0:109980.0:44030.0:109981.0:44030.0:109983.0:44028.0:109984.0:44028.0:109985.0:44027.0:109986.0:44027.0:109987.0:44026.0:109988.0:44026.0:109990.0:44024.0:109991.0:44024.0:109995.0:44020.0:109995.0:44015.0:109994.0:44014.0:109994.0:44013.0:109993.0:44012.0:109993.0:44011.0:109992.0:44010.0:109991.0:44010.0:109990.0:44009.0:109989.0:44009.0:109988.0:44008.0:109987.0:44008.0:109986.0:44007.0:109985.0:44007.0:109984.0:44006.0:109982.0:44006.0:109981.0:44005.0:109979.0:44005.0:109976.0:44002.0]
742,742,[110627.0:44002.0:110626.0:44003.0:110626.0:44010.0:110627.0:44011.0:110627.0:44018.0:110628.0:44019.0:110628.0:44020.0:110629.0:44021.0:110630.0:44021.0:110634.0:44025.0:110634.0:44026.0:110635.0:44027.0:110635.0:44028.0:110636.0:44028.0:110637.0:44029.0:110638.0:44029.0:110639.0:44030.0:110640.0:44030.0:110641.0:44031.0:110649.0:44031.0:110650.0:44030.0:110651.0:44030.0:110653.0:44028.0:110654.0:44028.0:110656.0:44026.0:110657.0:44026.0:110657.0:44025.0:110659.0:44023.0:110659.0:44017.0:110654.0:44012.0:110653.0:44012.0:110651.0:44010.0:110651.0:44009.0:110647.0:44005.0:110646.0:44005.0:110645.0:44004.0:110642.0:44004.0:110641.0:44003.0:110640.0:44003.0:110639.0:44002.0]
1285,1285,[108842.0:44002.0:108841.0:44003.0:108839.0:44003.0:108838.0:44004.0:108836.0:44004.0:108835.0:44005.0:108834.0:44005.0:108830.0:44009.0:108830.0:44010.0:108828.0:44012.0:108828.0:44013.0:108827.0:44014.0:108827.0:44015.0:108826.0:44016.0:108826.0:44017.0:108825.0:44018.0:108825.0:44020.0:108824.0:44021.0:108824.0:44024.0:108825.0:44025.0:108825.0:44027.0:108826.0:44028.0:108827.0:44028.0:108831.0:44032.0:108832.0:44032.0:108834.0:44034.0:108834.0:44035.0:108835.0:44036.0:108836.0:44036.0:108837.0:44037.0:108838.0:44037.0:108841.0:44040.0:108842.0:44040.0:108843.0:44041.0:108847.0:44041.0:108848.0:44042.0:108849.0:44042.0:108850.0:44041.0:108851.0:44041.0:108853.0:44039.0:108853.0:44038.0:108856.0:44035.0:108856.0:44034.0:108857.0:44033.0:108857.0:44030.0:108856.0:44029.0:108856.0:44027.0:108855.0:44026.0:108855.0:44025.0:108856.0:44024.0:108856.0:44022.0:108860.0:44018.0:108864.0:44018.0:108865.0:44017.0:108867.0:44017.0:108871.0:44013.0:108871.0:44011.0:108872.0:44010.0:108872.0:44006.0:108868.0:44002.0]
1360,1360,[110313.0:44002.0:110313.0:44009.0:110314.0:44010.0:110315.0:44010.0:110318.0:44013.0:110318.0:44015.0:110319.0:44016.0:110319.0:44019.0:110321.0:44021.0:110322.0:44021.0:110323.0:44022.0:110327.0:44022.0:110328.0:44023.0:110329.0:44023.0:110331.0:44025.0:110331.0:44026.0:110336.0:44031.0:110337.0:44031.0:110338.0:44032.0:110340.0:44032.0:110341.0:44033.0:110344.0:44033.0:110345.0:44034.0:110347.0:44034.0:110348.0:44035.0:110352.0:44035.0:110353.0:44034.0:110356.0:44034.0:110357.0:44033.0:110358.0:44033.0:110359.0:44032.0:110360.0:44032.0:110363.0:44029.0:110363.0:44028.0:110364.0:44027.0:110364.0:44014.0:110365.0:44013.0:110365.0:44011.0:110364.0:44010.0:110364.0:44007.0:110363.0:44006.0:110363.0:44005.0:110362.0:44004.0:110362.0:44003.0:110361.0:44002.0]
33,33,[110408.0:44016.0:110406.0:44018.0:110406.0:44019.0:110407.0:44020.0:110410.0:44020.0:110411.0:44019.0:110412.0:44019.0:110414.0:44017.0:110413.0:44016.0]
94,94,[108654.0:44014.0:108653.0:44015.0:108653.0:44018.0:108654.0:44018.0:108655.0:44019.0:108655.0:44020.0:108656.0:44021.0:108659.0:44021.0:108660.0:44022.0:108665.0:44022.0:108665.0:44021.0:108667.0:44019.0:108667.0:44017.0:108666.0:44016.0:108660.0:44016.0:108659.0:44015.0:108656.0:44015.0:108655.0:44014.0]
1285,1285,[108842.0:44002.0:108841.0:44003.0:108839.0:44003.0:108838.0:44004.0:108836.0:44004.0:108835.0:44005.0:108834.0:44005.0:108830.0:44009.0:108830.0:44010.0:108828.0:44012.0:108828.0:44013.0:108827.0:44014.0:108827.0:44015.0:108826.0:44016.0:108826.0:44017.0:108825.0:44018.0:108825.0:44020.0:108824.0:44021.0:108824.0:44024.0:108825.0:44025.0:108825.0:44027.0:108826.0:44028.0:108827.0:44028.0:108831.0:44032.0:108832.0:44032.0:108834.0:44034.0:108834.0:44035.0:108835.0:44036.0:108836.0:44036.0:108837.0:44037.0:108838.0:44037.0:108841.0:44040.0:108842.0:44040.0:108843.0:44041.0:108847.0:44041.0:108848.0:44042.0:108849.0:44042.0:108850.0:44041.0:108851.0:44041.0:108853.0:44039.0:108853.0:44038.0:108856.0:44035.0:108856.0:44034.0:108857.0:44033.0:108857.0:44030.0:108856.0:44029.0:108856.0:44027.0:108855.0:44026.0:108855.0:44025.0:108856.0:44024.0:108856.0:44022.0:108860.0:44018.0:108864.0:44018.0:108865.0:44017.0:108867.0:44017.0:108871.0:44013.0:108871.0:44011.0:108872.0:44010.0:108872.0:44006.0:108868.0:44002.0]
149,149,[109487.0:44012.0:109486.0:44013.0:109486.0:44014.0:109485.0:44015.0:109485.0:44022.0:109487.0:44024.0:109490.0:44024.0:109491.0:44025.0:109492.0:44025.0:109493.0:44026.0:109494.0:44026.0:109495.0:44027.0:109496.0:44027.0:109497.0:44026.0:109497.0:44021.0:109496.0:44020.0:109496.0:44019.0:109495.0:44018.0:109495.0:44017.0:109494.0:44016.0:109494.0:44015.0:109491.0:44012.0]
272,272,[111971.0:44011.0:111967.0:44015.0:111967.0:44016.0:111968.0:44017.0:111968.0:44019.0:111971.0:44022.0:111971.0:44023.0:111972.0:44023.0:111975.0:44026.0:111977.0:44026.0:111978.0:44027.0:111984.0:44027.0:111985.0:44026.0:111986.0:44026.0:111988.0:44024.0:111988.0:44018.0:111985.0:44015.0:111984.0:44015.0:111983.0:44014.0:111982.0:44014.0:111981.0:44013.0:111980.0:44013.0:111978.0:44011.0]
588,588,[108935.0:44002.0:108935.0:44003.0:108932.0:44006.0:108930.0:44006.0:108928.0:44008.0:108928.0:44009.0:108927.0:44010.0:108927.0:44011.0:108926.0:44012.0:108926.0:44023.0:108927.0:44024.0:108927.0:44026.0:108928.0:44027.0:108928.0:44029.0:108929.0:44030.0:108929.0:44031.0:108931.0:44033.0:108933.0:44033.0:108934.0:44034.0:108937.0:44034.0:108938.0:44033.0:108940.0:44033.0:108942.0:44031.0:108942.0:44030.0:108943.0:44029.0:108943.0:44024.0:108944.0:44023.0:108944.0:44021.0:108945.0:44020.0:108945.0:44019.0:108946.0:44018.0:108946.0:44014.0:108947.0:44013.0:108947.0:44012.0:108948.0:44011.0:108948.0:44010.0:108949.0:44009.0:108948.0:44008.0:108948.0:44007.0:108949.0:44006.0:108949.0:44003.0:108948.0:44002.0]
